baker,episode,rank_in_technical,mean_rank_in_technical,star,mean_star,top,mean_top,flop,mean_flop,final_rank,final_group,
Claudia,1,8,8,0,0,0,0,0,0,1,1,winner
Claudia,2,2,5,1,0.5,0,0,0,0,1,1,winner
Claudia,3,10,6.666666667,0,0.333333333,0,0,0,0,1,1,winner
Claudia,4,3,5.75,1,0.5,0,0,0,0,1,1,winner
Claudia,5,1,4.8,0,0.4,1,0.2,0,0,1,1,winner
Claudia,6,6,5,1,0.5,0,0.166666667,0,0,1,1,winner
Claudia,7,4,4.857142857,0,0.428571429,1,0.285714286,0,0,1,1,winner
Claudia,8,3,4.625,0,0.375,1,0.375,0,0,1,1,winner
Claudia,9,3,4.444444444,0,0.333333333,1,0.444444444,0,0,1,1,winner
Claudia,10,2,4.2,0,0.3,0,0.4,0,0,1,1,winner
Barb,1,5,5,0,0,0,0,0,0,2,2,runner_up
Barb,2,8,6.5,0,0,0,0,0,0,2,2,runner_up
Barb,3,2,5,1,0.333333333,0,0,0,0,2,2,runner_up
Barb,4,5,5,0,0.25,0,0,0,0,2,2,runner_up
Barb,5,2,4.4,0,0.2,1,0.2,0,0,2,2,runner_up
Barb,6,1,3.833333333,0,0.166666667,1,0.333333333,0,0,2,2,runner_up
Barb,7,5,4,0,0.142857143,0,0.285714286,0,0,2,2,runner_up
Barb,8,4,4,1,0.25,0,0.25,0,0,2,2,runner_up
Barb,9,2,3.777777778,0,0.222222222,0,0.222222222,0,0,2,2,runner_up
Barb,10,1,3.5,0,0.2,0,0.2,0,0,2,2,runner_up
Dave,1,7,7,0,0,0,0,0,0,2,2,runner_up
Dave,2,4,5.5,0,0,1,0.5,0,0,2,2,runner_up
Dave,3,1,4,0,0,0,0.333333333,0,0,2,2,runner_up
Dave,4,4,4,0,0,0,0.25,0,0,2,2,runner_up
Dave,5,7,4.6,0,0,0,0.2,1,0.2,2,2,runner_up
Dave,6,7,5,0,0,1,0.333333333,0,0.166666667,2,2,runner_up
Dave,7,6,5.142857143,0,0,0,0.285714286,1,0.285714286,2,2,runner_up
Dave,8,1,4.625,0,0,0,0.25,0,0.25,2,2,runner_up
Dave,9,4,4.555555556,1,0.111111111,0,0.222222222,0,0.222222222,2,2,runner_up
Dave,10,3,4.4,0,0.1,0,0.2,0,0.2,2,2,runner_up
Chris,1,6,6,0,0,0,0,0,0,4,3,top_tier
Chris,2,9,7.5,0,0,0,0,0,0,4,3,top_tier
Chris,3,3,6,0,0,1,0.333333333,0,0,4,3,top_tier
Chris,4,8,6.5,0,0,0,0.25,0,0,4,3,top_tier
Chris,5,5,6.2,1,0.2,0,0.2,0,0,4,3,top_tier
Chris,6,2,5.5,0,0.166666667,0,0.166666667,0,0,4,3,top_tier
Chris,7,1,4.857142857,0,0.142857143,1,0.285714286,0,0,4,3,top_tier
Chris,8,2,4.5,0,0.125,0,0.25,1,0.125,4,3,top_tier
Chris,9,1,4.111111111,0,0.111111111,0,0.222222222,0,0.111111111,4,3,top_tier
Raeesa,1,1,1,0,0,0,0,0,0,5,3,top_tier
Raeesa,2,10,5.5,0,0,0,0,0,0,5,3,top_tier
Raeesa,3,7,6,0,0,0,0,0,0,5,3,top_tier
Raeesa,4,2,5,0,0,1,0.25,0,0,5,3,top_tier
Raeesa,5,6,5.2,0,0,1,0.4,0,0,5,3,top_tier
Raeesa,6,5,5.166666667,0,0,0,0.333333333,1,0.166666667,5,3,top_tier
Raeesa,7,2,4.714285714,1,0.142857143,0,0.285714286,0,0.142857143,5,3,top_tier
Raeesa,8,5,4.75,0,0.125,0,0.25,0,0.125,5,3,top_tier
Robert,1,3,3,1,1,0,0,0,0,6,3,top_tier
Robert,2,1,2,0,0.5,0,0,0,0,6,3,top_tier
Robert,3,9,4.333333333,0,0.333333333,0,0,0,0,6,3,top_tier
Robert,4,6,4.75,0,0.25,0,0,1,0.25,6,3,top_tier
Robert,5,3,4.4,0,0.2,1,0.2,0,0.2,6,3,top_tier
Robert,6,4,4.333333333,0,0.166666667,0,0.166666667,1,0.333333333,6,3,top_tier
Robert,7,3,4.142857143,0,0.142857143,0,0.142857143,0,0.285714286,6,3,top_tier
Marcus,1,12,12,0,0,1,1,0,0,7,4,bottom_tier
Marcus,2,6,9,0,0,1,1,0,0,7,4,bottom_tier
Marcus,3,8,8.666666667,0,0,0,0.666666667,1,0.333333333,7,4,bottom_tier
Marcus,4,7,8.25,0,0,1,0.75,0,0.25,7,4,bottom_tier
Marcus,5,4,7.4,0,0,0,0.6,1,0.4,7,4,bottom_tier
Marcus,6,3,6.666666667,0,0,0,0.5,0,0.333333333,7,4,bottom_tier
Michelle,1,2,2,0,0,1,1,0,0,8,4,bottom_tier
Michelle,2,5,3.5,0,0,0,0.5,0,0,8,4,bottom_tier
Michelle,3,5,4,0,0,0,0.333333333,0,0,8,4,bottom_tier
Michelle,4,1,3.25,0,0,0,0.25,0,0,8,4,bottom_tier
Michelle,5,8,4.2,0,0,0,0.2,0,0,8,4,bottom_tier
Emma,1,4,4,0,0,0,0,0,0,9,4,bottom_tier
Emma,2,11,7.5,0,0,0,0,1,0.5,9,4,bottom_tier
Emma,3,6,7,0,0,0,0,0,0.333333333,9,4,bottom_tier
Emma,4,9,7.5,0,0,0,0,0,0.25,9,4,bottom_tier
Max,1,11,11,0,0,0,0,1,1,10,4,bottom_tier
Max,2,3,7,0,0,0,0,0,0.5,10,4,bottom_tier
Max,3,4,6,0,0,0,0,0,0.333333333,10,4,bottom_tier
Alex,1,10,10,0,0,0,0,0,0,11,4,bottom_tier
Alex,2,7,8.5,0,0,0,0,0,0,11,4,bottom_tier
Jessica,1,9,9,0,0,0,0,0,0,12,4,bottom_tier
